id,name,description,duration,fees,college_id
7a633de8-13a3-41f5-b3f2-b71a2fd33ad6,Physics 262,Executive begin kind nation evidence.,1 Semester,4485,c2ae80e1-48e1-470a-a217-45ae311f4f9d
4d6bb408-d52c-48e9-8390-af91ea71500f,Data Analytics 266,Minute two player hotel something.,1 Semester,1246,c2ae80e1-48e1-470a-a217-45ae311f4f9d
2c0625b9-58b3-4efb-9b42-918932b3e14e,Data Analytics 275,Book now seven job ground manage create.,1 Semester,3351,c2ae80e1-48e1-470a-a217-45ae311f4f9d
f59ac703-f594-48e7-8827-c317fd037046,Physics 126,With win each decade idea.,1 Semester,2147,c2ae80e1-48e1-470a-a217-45ae311f4f9d
ff3ba614-c520-4ee2-ba6e-f3ab47eaf3d1,Data Analytics 120,Public sister half beyond yourself painting establish throughout.,1 Semester,3452,e16fd8d1-5751-4044-ac92-eb089ffffea2
893f239e-2bb6-4662-893e-a73f13a7a216,Physics 207,Guess trip guess edge.,1 Semester,1160,e16fd8d1-5751-4044-ac92-eb089ffffea2
982d643e-14cd-4ef9-9cf4-4c49ef855fe7,History 311,Perform mind network budget.,1 Semester,1378,e16fd8d1-5751-4044-ac92-eb089ffffea2
772c96fe-683d-4e56-8af4-2b627d44dfdc,Psychology 390,Building trouble expert song term work final.,1 Semester,1974,e16fd8d1-5751-4044-ac92-eb089ffffea2
b534da7f-c9ef-4414-b702-05b60083b8a3,Psychology 392,Somebody marriage firm painting such size together possible.,1 Semester,1019,e2cb8b65-a4e0-4aa1-8633-1a845484f194
50670627-6342-4123-ae50-5796ca7892bc,Business 278,Full lose dog rock subject.,1 Semester,1604,e2cb8b65-a4e0-4aa1-8633-1a845484f194
0a704772-73cd-4f27-87ba-4a56f04875b7,Data Analytics 277,Represent century value cell southern cold rather.,1 Semester,3107,e2cb8b65-a4e0-4aa1-8633-1a845484f194
0728281a-5c53-40d0-b4a1-d717888ddaf1,Physics 272,Sign thing meet pressure.,1 Semester,1382,e2cb8b65-a4e0-4aa1-8633-1a845484f194
97383948-df6b-4370-b87c-787ebdc5ca24,Computer Science 256,Parent since company minute traditional.,1 Semester,1458,c2271ccc-569e-44ef-b978-ad97fbb93a8d
47560c3d-119c-468e-a28f-338c6ff2fe6e,Data Analytics 266,Space within on natural happy reason.,1 Semester,2028,c2271ccc-569e-44ef-b978-ad97fbb93a8d
49031cc3-80ce-466b-8b8e-3f34a21d7d23,Data Analytics 290,Write general onto cause.,1 Semester,2617,c2271ccc-569e-44ef-b978-ad97fbb93a8d
86e255b3-add9-4004-8f42-e1f6b1ce3524,History 357,Indeed civil environmental discussion staff.,1 Semester,2038,c2271ccc-569e-44ef-b978-ad97fbb93a8d
9065f4bf-7557-420d-a6da-81865dbfc601,Physics 270,Reach accept TV worker different our.,1 Semester,1369,fba2ca4e-a6cc-46e9-b946-202cf13058ee
717c8112-4ef0-45ac-92d6-a53339431ff1,Business 287,While gas south particularly.,1 Semester,1665,fba2ca4e-a6cc-46e9-b946-202cf13058ee
c526e439-a646-47bf-9aab-e2783f8e4462,Computer Science 322,Present front word.,1 Semester,2070,fba2ca4e-a6cc-46e9-b946-202cf13058ee
ce092910-57cd-4ba1-b5f3-d49a516e1e78,Computer Science 389,Down else sound.,1 Semester,3614,fba2ca4e-a6cc-46e9-b946-202cf13058ee
